,Year,Local Government Area,Offence Count,"Rate per 100,000 population"
607,2023,bawbaw,4496.0,7411.999999999999
608,2023,bayside,5605.0,5422.0
609,2023,benalla,4626.0,8138.300643418711
610,2023,boroondara,7868.0,4515.9
611,2023,brimbank,17044.0,8666.599999999999
612,2023,buloke,429.0,7042.0
613,2023,campaspe,4920.0,10015.490829539529
614,2023,cardinia,7108.0,5587.6
615,2023,casey,23432.0,5982.9
616,2023,centralgoldfields,2306.0,6768.508089120638
617,2023,colacotway,2200.0,5754.102209259185
618,2023,darebin,13715.0,8823.9
619,2023,eastgippsland,5279.0,10687.6
620,2023,frankston,14953.0,10490.5
621,2023,gleneira,7662.0,4948.3
622,2023,glenelg,2872.0,7901.325454955645
623,2023,goldenplains,729.0,2832.5000000000005
624,2023,greaterbendigo,11276.0,9072.0
625,2023,greaterdandenong,18774.0,11610.9
626,2023,greatergeelong,22694.0,7950.037373555917
627,2023,greatershepparton,8503.0,12215.8
628,2023,hindmarsh,307.0,5528.0
629,2023,hobsonsbay,5720.0,6143.199999999999
630,2023,horsham,2756.0,13531.699999999999
631,2023,hume,18342.0,7030.799999999999
632,2023,indigo,657.0,3741.3
633,2023,kingston,12594.0,7762.3
634,2023,knox,10162.0,6315.399999999999
635,2023,latrobe,11863.0,15187.299999999997
636,2023,loddon,453.0,5844.9
637,2023,macedonranges,2131.0,4030.0999999999995
638,2023,manningham,4817.0,3764.3
639,2023,maribyrnong,9713.0,10384.4
640,2023,maroondah,7666.0,6548.0
641,2023,melbourne,37764.0,21405.7
642,2023,melton,12862.0,6224.0
643,2023,merribek,12750.0,7049.700000000001
644,2023,mildura,8071.0,14036.599999999999
645,2023,mitchell,5588.0,6923.713516568601
646,2023,monash,13629.0,6832.2
647,2023,mooneevalley,8020.0,6354.3
648,2023,moorabool,3303.0,5886.833576386884
649,2023,morningtonpeninsula,9928.0,5812.8
650,2023,moyne,625.0,3560.7
